,Price,Area,Mặt tiền,Số phòng ngủ,Hướng ban công,Tình trạng pháp lý,Hướng nhà,Số tầng,Bồn cầu,City,District,Name
112,Thỏa thuận,86,None,None,None,None,None,None,None,Hà Nội,Huyện Chương Mỹ,Bán Đất tại Xã Đông Sơn
114,2350.0,30,"3,65m",3.0,None,Sổ đỏ,Đông-Nam,4.0,1.0,Hà Nội,Huyện Hoài Đức,Bán Nhà riêng tại Phố Đồng Nhân
115,2600.0,131,None,3.0,None,Sổ đỏ,None,None,None,Hà Nội,Quận Đống Đa,Bán Căn hộ chung cư tại Phố Thái Hà
116,9200.0,50,None,5.0,None,Sổ đỏ,None,5.0,None,Hà Nội,Quận Cầu Giấy,Bán Nhà riêng tại Đường Hoàng Quốc Việt
118,4680.0,35,4m,3.0,None,Sổ đỏ,None,5.0,1.0,Hà Nội,Quận Đống Đa,Bán Nhà riêng tại Phố Pháo Đài Láng
119,13700.0,91,None,4.0,None,Sổ đỏ,None,18.0,None,Hà Nội,Quận Tây Hồ,Bán Căn hộ chung cư tại đường Thụy Khuê
123,900,50,None,1.0,None,Sổ đỏ,Đông-Bắc,7.0,None,Hà Nội,Quận Đống Đa,Bán Căn hộ chung cư tại Đường Đông Tác
124,600,27,None,1.0,Đông-Bắc,Sổ đỏ,Nam,8.0,None,Hà Nội,Quận Đống Đa,Bán Căn hộ chung cư tại Đường Đông Tác
125,1000.0,48,None,2.0,None,Sổ đỏ,Đông-Bắc,6.0,None,Hà Nội,Quận Đống Đa,Bán Căn hộ chung cư tại Đường Đê La Thành
126,860,35,None,1.0,Đông-Nam,Sổ đỏ,Đông-Nam,6.0,None,Hà Nội,Quận Hoàng Mai,Bán Căn hộ chung cư tại Đường Hoàng Mai
127,650,35,None,1.0,Đông-Bắc,Sổ đỏ,Đông-Bắc,6.0,None,Hà Nội,Quận Đống Đa,Bán Căn hộ chung cư tại Đường Đông Tác
128,680,35,None,1.0,Đông-Bắc,Sổ đỏ,Nam,6.0,None,Hà Nội,Quận Hoàng Mai,Bán Căn hộ chung cư tại Đường Hoàng Mai
129,45000.0,196,8m,None,None,Sổ đỏ,None,4.0,None,Hà Nội,Quận Thanh Xuân,Bán Nhà mặt phố tại Đường Trường Chinh
130,4250.0,31,None,None,None,None,None,None,None,Hà Nội,Quận Hai Bà Trưng,Bán Nhà riêng tại Phố Lạc Trung
132,4050.0,35,None,None,None,None,None,None,None,Hà Nội,Quận Bắc Từ Liêm,Bán Nhà riêng tại Phường Phú Diễn
133,3450.0,38,None,3.0,None,Sổ đỏ,None,5.0,None,Hà Nội,Quận Hoàng Mai,Bán Nhà riêng tại Đường Đặng Xuân Bảng
134,3300.0,36,None,3.0,None,Sổ đỏ,None,5.0,None,Hà Nội,Quận Hoàng Mai,Bán Nhà riêng tại Đường Đại Từ
135,4600.0,60,None,4.0,None,Sổ đỏ,None,None,None,Hà Nội,Quận Hoàng Mai,Bán Nhà riêng tại Đường Trương Định
136,2560.0,85,None,3.0,None,Sổ đỏ,None,None,None,Hà Nội,Quận Hoàng Mai,Bán Căn hộ chung cư tại Đường Linh Đàm
137,5800.0,55,"3,3m",None,None,Sổ hồng,Tây-Nam,None,None,Hà Nội,Quận Hà Đông,Bán Đất tại Phố Bà Triệu
138,3500.0,37,"6,4m",4.0,None,None,None,4.0,1.0,Hà Nội,Quận Hà Đông,Bán Nhà riêng tại Đường Lê Trọng Tấn
139,8000.0,45,"3,5m",4.0,None,Sổ đỏ,None,6.0,1.0,Hà Nội,Quận Hà Đông,Bán Nhà riêng tại Đường Quang Trung
140,3250.0,36,None,4.0,None,Sổ đỏ,None,5.0,None,Hà Nội,Huyện Thanh Trì,Bán Nhà riêng tại Đường Kim Giang
141,7000.0,55,None,None,None,Sổ đỏ,Tây-Bắc,8.0,None,Hà Nội,Quận Hà Đông,Bán Căn hộ chung cư tại Đường Yên Xá
142,Thỏa thuận,43,None,None,None,None,None,None,None,Hà Nội,Quận Nam Từ Liêm,Bán Nhà riêng tại đường Mỹ Đình
143,4200.0,40,5m,4.0,None,Sổ đỏ,None,4.0,1.0,Hà Nội,Quận Hà Đông,Bán Nhà riêng tại Phường La Khê
144,28000.0,140,"8,5m",4.0,None,None,None,8.0,1.0,Hà Nội,Quận Tây Hồ,Bán Nhà mặt phố tại Đường Lạc Long Quân
146,58000.0,65,"5,5m",4.0,None,Sổ đỏ,None,3.0,1.0,Hà Nội,Quận Hoàn Kiếm,Bán Nhà mặt phố tại Phố Hàng Buồm
147,14000.0,40,4m,4.0,None,Sổ đỏ,None,8.0,1.0,Hà Nội,Quận Cầu Giấy,Bán Nhà mặt phố tại Đường Dương Khuê
148,17500.0,60,"5,5m",4.0,None,Sổ đỏ,Tây-Bắc,4.0,1.0,Hà Nội,Quận Cầu Giấy,Bán Nhà mặt phố tại Phố Phạm Tuấn Tài
149,57500.0,65,"5,5m",3.0,None,Sổ đỏ,None,3.0,1.0,Hà Nội,Quận Hoàn Kiếm,Bán Nhà mặt phố tại Đường Đào Duy Từ
152,16000.0,50,5m,4.0,None,Sổ đỏ,Tây-Bắc,4.0,1.0,Hà Nội,Quận Cầu Giấy,Bán Nhà mặt phố tại Đường Hoàng Quốc Việt
153,4050.0,38,None,None,None,None,None,None,None,Hà Nội,Quận Nam Từ Liêm,Bán Đất tại Phường Phương Canh
155,2350.0,55,None,None,None,None,None,None,None,Hà Nội,Huyện Hoài Đức,Bán Đất tại Xã Di Trạch
156,1920.0,88,None,None,None,None,None,None,None,Hà Nội,Huyện Ba Vì,Bán Đất tại Xã Yên Bài
157,18500.0,244,None,None,None,None,None,None,None,Hà Nội,Quận Nam Từ Liêm,Bán Căn hộ chung cư tại đường Mỹ Đình
161,4200.0,90,"7,5m",1.0,None,Sổ đỏ,None,1.0,1.0,Hà Nội,Quận Cầu Giấy,Bán Nhà riêng tại Phường Nghĩa Tân
170,4450.0,36,"3,5m",4.0,None,Sổ đỏ,None,4.0,1.0,Hà Nội,Quận Đống Đa,Bán Nhà riêng tại Đường Yên Lãng
171,13000.0,71,None,None,None,Sổ đỏ,None,None,None,Hà Nội,Quận Long Biên,Bán Nhà riêng tại Phố Hồng Tiến
173,2680.0,64,None,None,None,None,None,None,None,Hà Nội,Quận Nam Từ Liêm,Bán Căn hộ chung cư tại Phường Tây Mỗ
174,4690.0,45,5m,4.0,None,None,None,5.0,1.0,Hà Nội,Quận Hai Bà Trưng,Bán Nhà riêng tại Đường Minh Khai
