id,date,exp_date,house_direction,balcony_direction,bedroom,toilet,legit,furniture,floor,facade,entrance,city,district,ward,street,area,price
batdongsan_com_vn_35618788,30/11/2022,07/12/2022,None,None,None,None,Sổ đỏ/ Sổ hồng.,,None,None,None,Hà Nội,Tây Hồ,Phường Phú Thượng,Đường Lạc Long Quân,250.0,67500.0
batdongsan_com_vn_35988259,30/11/2022,07/12/2022,Bắc,None,3,4,Sổ đỏ.,Đầy đủ.,6,4 m,4,Hà Nội,Đống Đa,Phường Khương Thượng,Đường Trường Chinh,33.0,4300.0
batdongsan_com_vn_35783001,30/11/2022,08/12/2022,None,None,21,22,None,,9,6 m,5,Hà Nội,Thanh Trì,Xã Tân Triều,Đường Triều Khúc,65.0,11900.0
batdongsan_com_vn_35654509,28/11/2022,05/12/2022,None,Đông - Nam,2,2,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,None,None,None,Hà Nội,Thanh Trì,Xã Tả Thanh Oai,Đường Phan Trọng Tuệ,56.0,1200.0
batdongsan_com_vn_35777347,30/11/2022,07/12/2022,None,None,None,None,Hợp đồng mua bán,,None,None,None,Hà Nội.,Nam Từ Liêm,Phường Xuân Phương,None,100.0,15000.0
batdongsan_com_vn_35024595,30/11/2022,07/12/2022,None,None,3,4,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,5,4 m,2,Hà Nội,Ba Đình,Phường Đội Cấn,Đường Đội Cấn,28.0,3100.0
batdongsan_com_vn_35594789,30/11/2022,07/12/2022,None,None,None,None,Sổ đỏ/ Sổ hồng,,None,None,None,Hà Nội,Gia Lâm,Xã Đặng Xá,Đường Nguyễn Đức Thuận,132.0,13500.0
batdongsan_com_vn_35548572,28/11/2022,05/12/2022,None,None,1,1,Sổ đỏ/ Sổ hồng,"Nội thất: Nhà mình đã làm sàn gỗ, để lại bàn ghế, tủ bếp, điều hòa, nóng lạnh, giường tủ,...",None,None,None,Hà Nội,Hà Đông,Phường Phúc La,Phố Phùng Hưng,56.0,1250.0
batdongsan_com_vn_35988959,30/11/2022,07/12/2022,None,None,4,None,Sổ đỏ/ Sổ hồng,Đầy đủ,4,3.9 m,2.5,Hà Nội,Bắc Từ Liêm,Phường Xuân Đỉnh,Đường Phạm Văn Đồng,38.0,3770.0
batdongsan_com_vn_35368890,30/11/2022,07/12/2022,None,None,1,1,Sổ đỏ/ Sổ hồng,,2,4 m,60,Hà Nội,Đống Đa,Phường Nam Đồng,Phố Xã Đàn,70.0,25500.0
batdongsan_com_vn_35955137,26/11/2022,03/12/2022,None,None,3,2,None,,None,None,None,Hà Nội,Bắc Từ Liêm,Phường Xuân Đỉnh,Đường Xuân Đỉnh,110.0,4600.0
batdongsan_com_vn_35988956,30/11/2022,07/12/2022,None,None,2,1,Sổ đỏ/ Sổ hồng.,Đầy đủ.,None,None,None,Hà Nội,Đống Đa,Phường Ô Chợ Dừa,Phố Hoàng Cầu,65.0,3300.0
batdongsan_com_vn_35949600,25/11/2022,05/12/2022,None,Đông - Nam,3,2,None,,None,None,None,Hà Nội,Hà Đông,Phường La Khê,Đường Tố Hữu,80.0,2050.0
batdongsan_com_vn_35527445,25/11/2022,02/12/2022,Đông - Bắc,Tây - Nam,2,1,Sổ đỏ/ Sổ hồng.,Nội thất đầy đủ.,None,None,None,Hà Nội.,Nam Từ Liêm,Phường Mễ Trì,Đường Đại lộ Thăng Long,63.0,2800.0
batdongsan_com_vn_34648788,25/11/2022,02/12/2022,None,None,2,2,Sổ đỏ/ Sổ hồng,Full nội thất cơ bản liền.,None,None,None,Hà Nội,Long Biên,Phường Sài Đồng,Đường Huỳnh Văn Nghệ,76.0,2700.0
batdongsan_com_vn_35949453,25/11/2022,02/12/2022,None,None,4,3,Sổ đỏ/ Sổ hồng,Cơ bản,4,None,None,Hà Nội,Hà Đông,Phường La Khê,Đường Lê Trọng Tấn,37.0,3690.0
batdongsan_com_vn_35949356,25/11/2022,05/12/2022,None,None,5,4,Sổ đỏ/ Sổ hồng,,5,None,None,Hà Nội,Hoàng Mai,Phường Đại Kim,Đường Kim Giang,43.0,3900.0
batdongsan_com_vn_35949339,25/11/2022,05/12/2022,Tây - Bắc,Đông - Nam,3,2,Sổ đỏ,,None,None,None,Hà Nội,Hà Đông,Phường Dương Nội,Đường Tố Hữu,90.0,3400.0
batdongsan_com_vn_35949128,25/11/2022,02/12/2022,Đông - Nam,None,None,None,Sổ đỏ/ Sổ hồng,,None,4.32 m,11.5,Hà Nội,Gia Lâm,Xã Kim Sơn,Đường Quốc Lộ 17,80.0,4080.0
batdongsan_com_vn_35949022,25/11/2022,05/12/2022,Tây - Nam,Tây - Bắc,3,2,None,,None,None,None,Hà Nội,Hà Đông,Phường La Khê,Đường Tố Hữu,95.1,2250.0
batdongsan_com_vn_35949015,25/11/2022,05/12/2022,Tây - Bắc,Đông - Nam,2,2,Đang chờ sổ,Full nội thất.,None,None,None,Hà Nội,Thanh Xuân,Phường Thanh Xuân Trung,Đường Nguyễn Tuân,60.0,2700.0
batdongsan_com_vn_35788709,25/11/2022,02/12/2022,None,None,2,2,Sổ đỏ/ Sổ hồng,Full nội thất.,None,None,None,Hà Nội,Ba Đình,Phường Giảng Võ,Đường Núi Trúc,94.0,5734.0
batdongsan_com_vn_35948935,25/11/2022,02/12/2022,Tây - Bắc,None,None,None,Sổ đỏ/ Sổ hồng,,None,3.65 m,5,Hà Nội,Hà Đông,Phường Phú Lãm,Đường Quang Lãm,55.0,3400.0
batdongsan_com_vn_35947583,25/11/2022,02/12/2022,Đông - Nam,None,4,3,Sổ đỏ/ Sổ hồng,,5,4.2 m,None,Hà Nội,Đống Đa,Phường Ô Chợ Dừa,Đường Trần Quang Diệu,44.0,14200.0
batdongsan_com_vn_35948886,25/11/2022,02/12/2022,None,None,2,2,Sổ hồng chính chủ,Nội thất đầy đủ,None,None,None,Hà Nội,Hà Đông,Phường Phúc La,Phố Phùng Hưng,70.0,1650.0
batdongsan_com_vn_35948795,25/11/2022,05/12/2022,Tây - Bắc,Đông - Nam,3,2,Sổ đỏ/ Sổ hồng,Full nội thất cao cấp,None,None,None,Hà Nội,Bắc Từ Liêm,Phường Phú Diễn,Đường Hồ Tùng Mậu,115.0,3800.0
batdongsan_com_vn_35948002,25/11/2022,05/12/2022,None,None,3,4,Sổ đỏ,,5,None,None,Hà Nội,Tây Hồ,Phường Phú Thượng,Đường An Dương Vương,33.0,3700.0
batdongsan_com_vn_35703600,25/11/2022,05/12/2022,None,None,6,6,Sổ đỏ,,6,None,None,Hà Nội,Hà Đông,Phường La Khê,None,107.0,26215.0
batdongsan_com_vn_34271746,21/11/2022,01/12/2022,Tây - Nam,Đông - Bắc,2,2,Sổ đỏ/ Sổ hồng,,None,None,None,Hà Nội,Nam Từ Liêm,Phường Tây Mỗ,None,64.0,2550.0
batdongsan_com_vn_31772176,18/11/2022,28/11/2022,Tây - Bắc,Đông - Nam,3,3,Đã có sổ đỏ vĩnh viễn.,"Cao cấp sang trọng, điều hòa Daikin loại cao cấp, nóng lạnh đầy đủ.",None,None,None,Hà Nội,Thanh Xuân,Phường Thượng Đình,Đường Nguyễn Trãi,103.0,4068.5
batdongsan_com_vn_35929042,23/11/2022,03/12/2022,Đông - Nam,None,4,4,Hợp đồng mua bán,Xây thô HT mặt ngoài.,2,15 m,10,Hà Nội,Thạch Thất,None,None,254.0,11800.0
batdongsan_com_vn_35918170,23/11/2022,03/12/2022,None,None,None,None,Sổ đỏ/ Sổ hồng,,None,None,8,Hà Nội,Thạch Thất,Xã Bình Yên,Đường 420,70.0,900.0
batdongsan_com_vn_35921697,23/11/2022,03/12/2022,None,None,3,2,None,,None,None,None,Hà Nội,Nam Từ Liêm,Phường Tây Mỗ,None,74.0,3200.0
batdongsan_com_vn_35924428,22/11/2022,02/12/2022,Đông - Nam,Tây - Nam,3,2,None,,None,None,None,Hà Nội,Nam Từ Liêm,Phường Mỹ Đình 2,Đường Lê Đức Thọ,94.0,4650.0
batdongsan_com_vn_35922416,22/11/2022,02/12/2022,None,Đông - Nam,2,2,Sổ đỏ/ Sổ hồng,Full nội thất,None,None,None,Hà Nội.,Nam Từ Liêm,Phường Tây Mỗ,None,64.0,2100.0
batdongsan_com_vn_35784607,21/11/2022,01/12/2022,Bắc,Đông - Nam,2,2,Sổ đỏ/ Sổ hồng,Từ nguyên bản - cơ bản đến đầy đủ nội thất.,None,None,None,Hà Nội,Bắc Từ Liêm,Phường Phú Diễn,Đường Hồ Tùng Mậu,74.0,2850.0
batdongsan_com_vn_35887801,19/11/2022,29/11/2022,Tây - Bắc,Đông - Nam,4,3,None,,None,None,None,Hà Nội,Nam Từ Liêm,Phường Mỹ Đình 2,Đường Lê Đức Thọ,185.0,11700.0
batdongsan_com_vn_34274290,22/11/2022,02/12/2022,Tây - Nam,None,None,None,Sổ đỏ/ Sổ hồng,,6,6.5 m,None,Hà Nội,Hà Đông,Phường Vạn Phúc,Đường Tố Hữu,94.0,22000.0
batdongsan_com_vn_35919847,22/11/2022,03/12/2022,None,None,None,None,None,,None,4.5 m,None,Hà Nội,Hoài Đức,Xã Kim Chung,None,70.2,3720.6000000000004
batdongsan_com_vn_35919538,22/11/2022,02/12/2022,Tây - Bắc,Đông - Nam,2,None,None,,None,None,None,Hà Nội.,Nam Từ Liêm,Phường Tây Mỗ,None,59.0,1900.0
