,Price,Area,Facade,Building Line,Floors,Bedrooms,Pulish Time,Type,ID,Toilets,Direction,District
7020,50000,30.0,5.0,6.0,5,4,23/08/2022,Tin thường,batdongsan_so_com_vn_1670500160.6047401,4,,None
7022,49000,49.0,4.0,2.0,4,5,23/08/2022,Tin thường,batdongsan_so_com_vn_1670500162.8822873,3,,None
7023,28000,45.0,4.0,5.0,1,3,23/08/2022,Tin thường,batdongsan_so_com_vn_1670500163.842718,2,,None
7024,65000,65.0,4.0,4.0,4,4,23/08/2022,Tin thường,batdongsan_so_com_vn_1670500165.5282109,3,,None
7025,65000,60.0,5.0,4.0,4,4,23/08/2022,Tin thường,batdongsan_so_com_vn_1670500167.2007391,3,,None
7026,68000,49.0,3.0,2.0,5,3,23/08/2022,Tin thường,batdongsan_so_com_vn_1670500168.3327124,4,,None
7030,85000,52.0,3.0,6.0,4,4,23/08/2022,Tin thường,batdongsan_so_com_vn_1670500173.6963701,3,,None
7032,89000,80.0,6.0,4.0,3,2,23/08/2022,Tin thường,batdongsan_so_com_vn_1670500175.9855487,2,,None
7033,27000,35.0,4.0,6.0,2,2,22/08/2022,Tin thường,batdongsan_so_com_vn_1670500177.3900325,2,,None
7035,140000,73.0,7.0,3.0,3,4,22/08/2022,Tin thường,batdongsan_so_com_vn_1670500179.7101328,4,,None
7038,83000,45.0,4.0,3.0,4,4,22/08/2022,Tin thường,batdongsan_so_com_vn_1670500186.7083442,None,,None
7040,31500,48.0,4.0,2.0,3,3,22/08/2022,Tin thường,batdongsan_so_com_vn_1670500224.496585,3,,None
7042,24800,20.0,3.0,2.0,4,2,22/08/2022,Tin thường,batdongsan_so_com_vn_1670500226.880211,2,,None
7043,45000,34.0,3.0,2.0,4,4,22/08/2022,Tin thường,batdongsan_so_com_vn_1670500228.7901046,3, Đông nam,Hà Đông
7044,395000,140.0,8.0,50.0,4,4,22/08/2022,Tin thường,batdongsan_so_com_vn_1670500229.8353088,None,,None
7045,88000,40.0,4.0,10.0,5,6,22/08/2022,Tin thường,batdongsan_so_com_vn_1670500230.8007274,None,,Hà Đông
7050,37000,57.0,3.0,4.0,3,3,22/08/2022,Tin thường,batdongsan_so_com_vn_1670500235.868444,3,,None
7051,4,70.0,5.0,5.0,4,4,22/08/2022,Tin thường,batdongsan_so_com_vn_1670500237.1258452,3, Đông nam,None
7052,57000,30.0,5.0,2.0,5,3,22/08/2022,Tin thường,batdongsan_so_com_vn_1670500238.0064435,4,,None
7054,33000,36.0,6.0,2.0,4,3,22/08/2022,Tin thường,batdongsan_so_com_vn_1670500240.0060968,4,,None
7064,85000,52.0,38.0,6.0,4,4,22/08/2022,Tin thường,batdongsan_so_com_vn_1670500271.6060288,4,,None
7068,45000,67.0,5.0,2.0,3,4,22/08/2022,Tin thường,batdongsan_so_com_vn_1670500276.119361,3,,None
7069,118000,70.0,6.0,4.0,6,11,22/08/2022,Tin thường,batdongsan_so_com_vn_1670500277.2563207,11,,None
7080,68000,100.0,4.0,6.0,None,None,22/08/2022,Tin thường,batdongsan_so_com_vn_1670500309.2009628,None,,None
7081,40000,37.0,4.0,3.0,5,4,22/08/2022,Tin thường,batdongsan_so_com_vn_1670500310.5054743,7,,None
7082,75000,40.0,4.0,8.0,6,4,22/08/2022,Tin thường,batdongsan_so_com_vn_1670500311.5456939,None,,Hà Đông
7089,45000,67.0,5.0,2.0,3,4,22/08/2022,Tin thường,batdongsan_so_com_vn_1670500319.4536572,3,,None
7090,60000,35.0,4.0,5.0,4,4,22/08/2022,Tin thường,batdongsan_so_com_vn_1670500320.5427904,None,,None
7091,170000,135.0,9.0,8.0,9,8,22/08/2022,Tin thường,batdongsan_so_com_vn_1670500321.6886873,8,,None
7094,30000,40.0,4.0,3.0,4,4,22/08/2022,Tin thường,batdongsan_so_com_vn_1670500325.1562276,5,,None
7095,238000,152.0,15.0,15.0,3,3,22/08/2022,Tin thường,batdongsan_so_com_vn_1670500326.3540235,3,,None
7097,45000,45.0,4.0,2.0,5,4,22/08/2022,Tin thường,batdongsan_so_com_vn_1670500329.0259125,3,,None
7098,45000,45.0,4.0,2.0,5,4,22/08/2022,Tin thường,batdongsan_so_com_vn_1670500333.0662513,3,,None
